,Mkt-RF,SMB,HML,RF
20220504,    3.00,   -0.45,    0.24,   0.001
20220505,   -3.80,   -0.78,    2.37,   0.001
20220506,   -0.85,   -1.31,    1.77,   0.001
20220509,   -3.54,   -0.50,    1.37,   0.001
20220510,    0.20,   -0.22,   -1.22,   0.001
20220511,   -1.95,   -1.11,    2.59,   0.001
20220512,    0.17,    1.28,   -1.23,   0.001
20220513,    2.76,    0.90,   -2.20,   0.001
20220516,   -0.60,   -0.21,    1.35,   0.001
20220517,    2.14,    0.96,   -0.05,   0.001
20220518,   -4.04,    0.21,    1.53,   0.001
20220519,   -0.34,    0.48,   -0.80,   0.001
20220520,   -0.05,   -0.11,   -0.19,   0.001
20220523,    1.74,   -1.07,    1.29,   0.001
20220524,   -1.23,   -0.94,    1.85,   0.001
20220525,    1.22,    0.79,    0.21,   0.001
20220526,    2.18,    0.20,   -0.62,   0.001
20220527,    2.58,    0.36,   -1.30,   0.001
20220531,   -0.71,   -0.50,    0.45,   0.001
20220601,   -0.75,    0.19,    0.79,   0.003
20220602,    2.09,    0.84,   -2.07,   0.003
20220603,   -1.63,    0.85,    0.53,   0.003
20220606,    0.33,   -0.01,    0.65,   0.003
20220607,    0.99,    0.31,   -0.14,   0.003
20220608,   -1.02,   -0.09,   -0.53,   0.003
20220609,   -2.44,    0.31,    0.26,   0.003
20220610,   -3.00,    0.11,    0.62,   0.003
20220613,   -4.13,   -0.66,    0.62,   0.003
20220614,   -0.25,    0.22,    0.12,   0.003
20220615,    1.55,    0.28,   -1.65,   0.003
20220616,   -3.52,   -1.18,    0.03,   0.003
20220617,    0.47,    1.11,   -2.62,   0.003
20220621,    2.38,   -0.75,    0.24,   0.003
20220622,   -0.18,    0.19,   -1.77,   0.003
20220623,    1.13,    0.79,   -3.85,   0.003
20220624,    3.11,   -0.36,   -0.04,   0.003
20220627,   -0.28,    0.56,    1.24,   0.003
20220628,   -2.10,   -0.35,    2.36,   0.003
20220629,   -0.20,   -0.45,   -1.30,   0.003
20220630,   -0.96,    0.42,   -0.15,   0.003
20220701,    1.15,    0.03,    0.11,   0.004
20220705,    0.49,    1.79,   -3.35,   0.004
20220706,    0.17,   -0.76,   -0.73,   0.004
20220707,    1.77,    0.98,   -0.98,   0.004
20220708,   -0.07,    0.11,   -0.07,   0.004
20220711,   -1.39,   -1.30,    1.59,   0.004
20220712,   -0.88,    0.74,    0.51,   0.004
20220713,   -0.39,    0.45,   -0.40,   0.004
20220714,   -0.41,   -0.27,   -1.01,   0.004
20220715,    1.95,   -0.06,    0.47,   0.004
20220718,   -0.71,    0.21,    1.02,   0.004
20220719,    2.80,    0.91,   -0.56,   0.004
20220720,    0.89,    1.48,   -1.31,   0.004
20220721,    0.97,    0.04,   -1.63,   0.004
20220722,   -1.19,   -1.07,    1.37,   0.004
20220725,    0.11,   -0.31,    1.69,   0.004
20220726,   -1.32,    0.09,    1.06,   0.004
20220727,    2.72,    0.49,   -1.27,   0.004
20220728,    1.19,    0.08,   -0.86,   0.004
20220729,    1.44,   -0.96,    0.45,   0.004
20220801,   -0.19,    0.33,   -0.26,   0.008
20220802,   -0.49,    0.90,   -1.40,   0.008
20220803,    1.67,    0.76,   -1.92,   0.008
20220804,   -0.06,    0.80,   -1.65,   0.008
20220805,   -0.05,    0.89,   -0.06,   0.008
20220808,    0.00,    0.94,   -0.08,   0.008
20220809,   -0.68,   -1.82,    2.12,   0.008
20220810,    2.36,    1.14,   -1.60,   0.008
20220811,   -0.07,   -0.22,    1.66,   0.008
20220812,    1.76,    0.62,   -0.75,   0.008
20220815,    0.38,    0.14,   -0.63,   0.008
20220816,    0.19,   -0.34,    0.72,   0.008
20220817,   -0.93,   -1.17,    1.04,   0.008
20220818,    0.27,    0.19,    0.46,   0.008
20220819,   -1.50,   -1.16,    0.96,   0.008
20220822,   -2.14,   -0.18,    0.36,   0.008
20220823,   -0.11,    0.02,    0.33,   0.008
20220824,    0.40,    0.64,   -0.62,   0.008
20220825,    1.45,    0.18,   -0.01,   0.008
20220826,   -3.38,   -0.55,    1.69,   0.008
20220829,   -0.72,   -0.57,    0.42,   0.008
20220830,   -1.11,   -0.25,   -0.24,   0.008
20220831,   -0.74,    0.28,   -0.44,   0.008
20220901,   -0.01,   -1.11,   -0.30,   0.009
20220902,   -0.99,   -0.07,    1.07,   0.009
20220906,   -0.51,   -0.46,   -0.53,   0.009
20220907,    1.92,    0.70,   -1.53,   0.009
20220908,    0.78,   -0.07,   -0.19,   0.009
20220909,    1.67,    0.52,   -0.52,   0.009
20220912,    1.07,    0.29,   -0.16,   0.009
20220913,   -4.29,   -0.19,    1.44,   0.009
20220914,    0.44,   -0.05,   -0.29,   0.009
20220915,   -1.03,    0.37,    0.55,   0.009
20220916,   -0.98,   -0.84,    0.84,   0.009
20220919,    0.72,   -0.15,    0.67,   0.009
20220920,   -1.16,   -0.20,    0.05,   0.009
20220921,   -1.68,    0.37,    0.08,   0.009
20220922,   -1.14,   -1.35,    0.41,   0.009
20220923,   -1.85,   -0.25,   -0.81,   0.009
20220926,   -1.02,    0.18,   -0.74,   0.009
20220927,   -0.05,    0.63,   -0.94,   0.009
20220928,    2.15,    0.90,   -0.33,   0.009
20220929,   -2.17,   -0.46,    0.87,   0.009
20220930,   -1.42,    0.51,    0.27,   0.009
20221003,    2.55,   -0.26,    0.69,   0.011
20221004,    3.30,    0.77,   -0.05,   0.011
20221005,   -0.22,   -0.36,    0.08,   0.011
20221006,   -0.86,    0.53,    0.12,   0.011
20221007,   -2.91,   -0.63,    1.67,   0.011
20221010,   -0.81,    0.04,    0.77,   0.011
20221011,   -0.70,    0.55,    0.33,   0.011
20221012,   -0.27,    0.09,    0.00,   0.011
20221013,    2.40,   -0.62,    1.58,   0.011
20221014,   -2.46,   -0.46,    1.21,   0.011
20221017,    2.74,    0.68,   -1.42,   0.011
20221018,    1.19,   -0.11,    0.00,   0.011
20221019,   -0.87,   -1.32,    1.21,   0.011
20221020,   -0.80,   -0.28,   -0.44,   0.011
20221021,    2.30,   -0.18,    0.11,   0.011
20221024,    1.03,   -0.73,    0.46,   0.011
20221025,    1.78,    1.36,   -1.51,   0.011
20221026,   -0.66,    0.42,    0.89,   0.011
20221027,   -0.54,    0.32,    1.06,   0.011
20221028,    2.33,   -0.03,   -0.33,   0.011
20221031,   -0.67,    0.38,    0.74,   0.011
20221101,   -0.35,    0.16,    0.78,   0.014
20221102,   -2.67,   -1.21,    1.60,   0.014
20221103,   -1.03,    0.31,    0.31,   0.014
20221104,    1.16,   -0.60,    1.29,   0.014
20221107,    0.87,   -0.49,    0.60,   0.014
20221108,    0.50,   -0.47,   -0.38,   0.014
20221109,   -2.25,   -0.62,    0.55,   0.014
20221110,    5.68,    1.66,   -3.10,   0.014
20221111,    1.07,    0.30,   -1.08,   0.014
20221114,   -0.95,   -0.40,    0.25,   0.014
20221115,    1.03,    0.73,   -0.70,   0.014
20221116,   -1.03,   -1.21,    0.57,   0.014
20221117,   -0.42,   -0.51,    0.58,   0.014
20221118,    0.40,   -0.18,    0.08,   0.014
20221121,   -0.53,   -0.35,    0.99,   0.014
20221122,    1.35,   -0.52,    0.45,   0.014
20221123,    0.63,    0.02,   -0.94,   0.014
20221125,   -0.02,    0.22,    0.43,   0.014
20221128,   -1.55,   -0.40,   -0.21,   0.014
20221129,   -0.18,    0.11,    1.03,   0.014
20221130,    3.12,    0.35,   -2.07,   0.014
20221201,   -0.02,    0.26,   -0.69,   0.016
20221202,   -0.08,    0.92,   -0.56,   0.016
20221205,   -2.02,   -0.60,   -0.53,   0.016
20221206,   -1.51,   -0.23,    1.16,   0.016
20221207,   -0.24,   -0.14,   -0.33,   0.016
20221208,    0.77,    0.20,   -1.20,   0.016
20221209,   -0.80,   -0.54,    0.35,   0.016
20221212,    1.41,   -0.32,   -0.15,   0.016
20221213,    0.66,    0.19,   -0.75,   0.016
20221214,   -0.56,    0.03,   -0.44,   0.016
20221215,   -2.57,   -0.38,    1.37,   0.016
20221216,   -1.02,    0.52,    0.18,   0.016
20221219,   -1.01,   -0.77,    1.24,   0.016
20221220,    0.13,    0.22,    0.24,   0.016
20221221,    1.52,    0.12,   -0.14,   0.016
20221222,   -1.52,    0.10,    0.37,   0.016
20221223,    0.51,   -0.60,    1.15,   0.016
20221227,   -0.51,   -0.73,    1.43,   0.016
20221228,   -1.23,   -0.24,   -0.29,   0.016
20221229,    1.87,    1.26,   -1.07,   0.016
20221230,   -0.22,    0.10,   -0.03,   0.016
